memory file = ../riscvn.mem
program counter = 0000000c(12)
stack address = 4096
debugtype = 3
ram[00000000]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000004]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000008]  = 00000000(32) ; 00000000 -> 00000000 
ram[0000000c]  = 00000333(32) ; 00000000 -> 00000333 
ram[00000010]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000014]  = 68031063(32) ; 00000000 -> 68031063 
ram[00000018]  = 00030463(32) ; 00000000 -> 00030463 
ram[0000001c]  = 00000000(32) ; 00000000 -> 00000000 
ram[00000020]  = 00000333(32) ; 00000000 -> 00000333 
ram[00000024]  = 000003b3(32) ; 00000000 -> 000003b3 
ram[00000028]  = 00000417(32) ; 00000000 -> 00000417 
ram[0000002c]  = 66731463(32) ; 00000000 -> 66731463 
ram[00000030]  = 00730463(32) ; 00000000 -> 00730463 
ram[00000034]  = 00000000(32) ; 00000000 -> 00000000 
ram[00000038]  = 00100313(32) ; 00000000 -> 00100313 
ram[0000003c]  = 000303b3(32) ; 00000000 -> 000303b3 
ram[00000040]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000044]  = 64731863(32) ; 00000000 -> 64731863 
ram[00000048]  = 00000417(32) ; 00000000 -> 00000417 
ram[0000004c]  = 64639463(32) ; 00000000 -> 64639463 
ram[00000050]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000054]  = 6463c063(32) ; 00000000 -> 6463c063 
ram[00000058]  = 00000417(32) ; 00000000 -> 00000417 
ram[0000005c]  = 62734c63(32) ; 00000000 -> 62734c63 
ram[00000060]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000064]  = 6263c863(32) ; 00000000 -> 6263c863 
ram[00000068]  = 00000417(32) ; 00000000 -> 00000417 
ram[0000006c]  = 62736463(32) ; 00000000 -> 62736463 
ram[00000070]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000074]  = 6263e063(32) ; 00000000 -> 6263e063 
ram[00000078]  = 00000417(32) ; 00000000 -> 00000417 
ram[0000007c]  = 00730463(32) ; 00000000 -> 00730463 
ram[00000080]  = 00000000(32) ; 00000000 -> 00000000 
ram[00000084]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000088]  = 00735463(32) ; 00000000 -> 00735463 
ram[0000008c]  = 00000000(32) ; 00000000 -> 00000000 
ram[00000090]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000094]  = 00737463(32) ; 00000000 -> 00737463 
ram[00000098]  = 00000000(32) ; 00000000 -> 00000000 
ram[0000009c]  = 00000333(32) ; 00000000 -> 00000333 
ram[000000a0]  = 00100393(32) ; 00000000 -> 00100393 
ram[000000a4]  = 00000417(32) ; 00000000 -> 00000417 
ram[000000a8]  = 5e730663(32) ; 00000000 -> 5e730663 
ram[000000ac]  = 00000417(32) ; 00000000 -> 00000417 
ram[000000b0]  = 5e63c263(32) ; 00000000 -> 5e63c263 
ram[000000b4]  = 00734463(32) ; 00000000 -> 00734463 
ram[000000b8]  = 00000000(32) ; 00000000 -> 00000000 
ram[000000bc]  = 00000417(32) ; 00000000 -> 00000417 
ram[000000c0]  = 5c63ea63(32) ; 00000000 -> 5c63ea63 
ram[000000c4]  = 00736463(32) ; 00000000 -> 00736463 
ram[000000c8]  = 00000000(32) ; 00000000 -> 00000000 
ram[000000cc]  = 00000417(32) ; 00000000 -> 00000417 
ram[000000d0]  = 5c735263(32) ; 00000000 -> 5c735263 
ram[000000d4]  = 0063d463(32) ; 00000000 -> 0063d463 
ram[000000d8]  = 00000000(32) ; 00000000 -> 00000000 
ram[000000dc]  = 00000417(32) ; 00000000 -> 00000417 
ram[000000e0]  = 5a737a63(32) ; 00000000 -> 5a737a63 
ram[000000e4]  = 0063f463(32) ; 00000000 -> 0063f463 
ram[000000e8]  = 00000000(32) ; 00000000 -> 00000000 
ram[000000ec]  = fff00313(32) ; 00000000 -> fff00313 
ram[000000f0]  = 00100393(32) ; 00000000 -> 00100393 
ram[000000f4]  = 00000417(32) ; 00000000 -> 00000417 
ram[000000f8]  = 5863ce63(32) ; 00000000 -> 5863ce63 
ram[000000fc]  = 00734463(32) ; 00000000 -> 00734463 
ram[00000100]  = 00000000(32) ; 00000000 -> 00000000 
ram[00000104]  = 58735863(32) ; 00000000 -> 58735863 
ram[00000108]  = 0063d463(32) ; 00000000 -> 0063d463 
ram[0000010c]  = 00000000(32) ; 00000000 -> 00000000 
ram[00000110]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000114]  = 5863f063(32) ; 00000000 -> 5863f063 
ram[00000118]  = 00737463(32) ; 00000000 -> 00737463 
ram[0000011c]  = 00000000(32) ; 00000000 -> 00000000 
ram[00000120]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000124]  = 56736863(32) ; 00000000 -> 56736863 
ram[00000128]  = 0063e463(32) ; 00000000 -> 0063e463 
ram[0000012c]  = 00000000(32) ; 00000000 -> 00000000 
ram[00000130]  = fff00313(32) ; 00000000 -> fff00313 
ram[00000134]  = ffe00393(32) ; 00000000 -> ffe00393 
ram[00000138]  = 00000417(32) ; 00000000 -> 00000417 
ram[0000013c]  = 5463dc63(32) ; 00000000 -> 5463dc63 
ram[00000140]  = 00735463(32) ; 00000000 -> 00735463 
ram[00000144]  = 00000000(32) ; 00000000 -> 00000000 
ram[00000148]  = 00000417(32) ; 00000000 -> 00000417 
ram[0000014c]  = 54734463(32) ; 00000000 -> 54734463 
ram[00000150]  = 0063c463(32) ; 00000000 -> 0063c463 
ram[00000154]  = 00000000(32) ; 00000000 -> 00000000 
ram[00000158]  = 00000417(32) ; 00000000 -> 00000417 
ram[0000015c]  = 5263fc63(32) ; 00000000 -> 5263fc63 
ram[00000160]  = 00737463(32) ; 00000000 -> 00737463 
ram[00000164]  = 00000000(32) ; 00000000 -> 00000000 
ram[00000168]  = 00000417(32) ; 00000000 -> 00000417 
ram[0000016c]  = 52736463(32) ; 00000000 -> 52736463 
ram[00000170]  = 0063e463(32) ; 00000000 -> 0063e463 
ram[00000174]  = 00000000(32) ; 00000000 -> 00000000 
ram[00000178]  = ffe00313(32) ; 00000000 -> ffe00313 
ram[0000017c]  = 00100393(32) ; 00000000 -> 00100393 
ram[00000180]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000184]  = 00732e33(32) ; 00000000 -> 00732e33 
ram[00000188]  = 500e0663(32) ; 00000000 -> 500e0663 
ram[0000018c]  = 00000417(32) ; 00000000 -> 00000417 
ram[00000190]  = 0063ae33(32) ; 00000000 -> 0063ae33 
ram[00000194]  = 500e1063(32) ; 00000000 -> 500e1063 
ram[00000198]  = 00000417(32) ; 00000000 -> 00000417 
ram[0000019c]  = 0063be33(32) ; 00000000 -> 0063be33 
ram[000001a0]  = 4e0e0a63(32) ; 00000000 -> 4e0e0a63 
ram[000001a4]  = 00000417(32) ; 00000000 -> 00000417 
ram[000001a8]  = fff32e13(32) ; 00000000 -> fff32e13 
ram[000001ac]  = 4e0e0463(32) ; 00000000 -> 4e0e0463 
ram[000001b0]  = 00000417(32) ; 00000000 -> 00000417 
ram[000001b4]  = ffd32e13(32) ; 00000000 -> ffd32e13 
ram[000001b8]  = 4c0e1e63(32) ; 00000000 -> 4c0e1e63 
ram[000001bc]  = 00000417(32) ; 00000000 -> 00000417 
ram[000001c0]  = 00132e13(32) ; 00000000 -> 00132e13 
ram[000001c4]  = 4c0e0863(32) ; 00000000 -> 4c0e0863 
ram[000001c8]  = 00000417(32) ; 00000000 -> 00000417 
ram[000001cc]  = 0023ae13(32) ; 00000000 -> 0023ae13 
ram[000001d0]  = 4c0e0263(32) ; 00000000 -> 4c0e0263 
ram[000001d4]  = 00000417(32) ; 00000000 -> 00000417 
ram[000001d8]  = fff3ae13(32) ; 00000000 -> fff3ae13 
